title,short_description,price
"Sony PrimeSupport Plus, 3Y, Uplift, VPL-FE40L","PrimeSupport Plus, 3Y, Uplift, VPL-FE40L",
Dahua Europe Cooper IPC-CB1C20-0360B security camera IP security camera Indoor & outdoor Bullet Ceiling/Wall/Pole 1920 x 1080 pixels,,
HP 3y 4h 24x7 ProLiant HW Support,HP BL870c Server Blade HW Supp,
"Acer Aspire Z5610-BR 58.4 cm (23"") 1920 x 1080 pixels Intel® Core™2 Quad 4 GB DDR3-SDRAM 1000 GB AMD Radeon HD 4670 Windows 7 Home Premium","Aspire Z5610-BR - Intel Core 2 Quad Q8200 (2.33GHz 4MB Cache), 1TB SATA Storage, 4GB DDR3 RAM, Bluray-Combo SLOT-IN Drive, Dedicated ATI HD 4670 MXM Graphics (1GB DDR3), Windows 7 Home Premium, Wireless keyboard & mouse, Wireless LAN, 23"" 1080p Full HD Monitor, Integrated HD Webcam & Speakers, Bluetooth",
"DELL Latitude E5470 Notebook Black 35.6 cm (14"") 1366 x 768 pixels 6th gen Intel® Core™ i5 8 GB DDR4-SDRAM 128 GB SSD Wi-Fi 5 (802.11ac) Windows 7 Professional","Intel Core i5-6300U (3MB Cache, 2.4GHz), 8GB DDR4-SDRAM, 128GB SSD, 35.6 cm (14"") HD 1366 x 768 WLED, Intel HD Graphics 520, LAN, WLAN, Webcam, Windows 7 Professional 64-bit",
"ASUS VivoBook S14 S433FA-EB499T-BE Notebook Black, Gray 35.6 cm (14"") 1920 x 1080 pixels 10th gen Intel® Core™ i7 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 6 (802.11ax) Windows 10 Home","Intel Core i7-10510U (8MB Cache, 1.8GHz), 8GB DDR4-SDRAM, 256GB SSD, 35.6 cm (14"") Full HD 1920 x 1080, Intel UHD Graphics, WLAN, Webcam, Windows 10 Home",
KYOCERA FS -C1020MFP Laser 2400 x 600 DPI 20 ppm A4,"FS-C1020MFP Multifunctional ECOLaserprinter, 20ppm, 600 dpi copy, 2400x600 dpi print, 1,200 x 1,200 dpi scan",
"Acer Chromebook 314 C933L-C5XN 4G LTE Black 35.6 cm (14"") 1920 x 1080 pixels Intel® Celeron® 4 GB DDR4-SDRAM 32 GB eMMC Wi-Fi 5 (802.11ac) Chrome OS",,
"Lenovo ThinkPad T42 38.1 cm (15"") 1400 x 1050 pixels Intel Pentium Mobile 0.5 GB DDR-SDRAM 80 GB AMD Mobility Radeon 9600 Windows XP Professional","ThinkPad T42, P M 745, 512MB RAM, 80GB 5400rpm HDD, 15 SXGA+(1400x1050) TFT LCD, 64MB ATI Radeon 9600, 24x24x24x/8x CD-RW/DVD, Intel 802.11b/g wireless(MPCI), Bluetooth/Modem(CDC), 1Gb Ethernet(LOM), UltraNav, Secure Chip, 6 cell Li-Ion battery, WinXP Pro",
"Lenovo ThinkPad T42 35.8 cm (14.1"") 1024 x 768 pixels 0.5 GB DDR-SDRAM 40 GB AMD Mobility Radeon 7500 Windows XP Professional","ThinkPad T42, P M 735(1.7GHz), 512MB RAM, 40GB 5400rpm HD, 14.1in 1024x768 LCD, 32MB ATI Radeon 7500, CDRW/DVD, Intel 802.11b wireless, Modem, 1Gb Ethernet, UltraNav, Secure chip, 6c Li-Ion batt, WinXP Pro",
HP 3y 24x7 SP 3.x 4.x SW Support,"Care Pack 24x7 Software Technical Support, 3 year",
"Acer Aspire 5738G-664G50MN 39.6 cm (15.6"") 1366 x 768 pixels Intel® Core™2 Duo 4 GB DDR2-SDRAM 500 GB AMD Mobility Radeon HD 4570 Windows Vista Home Premium","Intel® Core™2 Duo processor T6600 (2.2GHz/FSB: 800MHz/2MB L2 cache), Microsoft® Windows® Vista™ Home Premium 32bits (Service Pack 1), Works 8.5 + Office Home & Student 2007 Trial (60 days), 15.6"" TFT WXGA CrystalBrite 16:9 aspect ratio, 4GB DDR II RAM (2x 2GB), 500GB HDD (5400rpm), Super Multi DVD-RW Dual layer, Numeric Keypad, 6-cell Li-ion, 56K modem, Wired & Wireless Lan 802.11N, ATI Mobility Radeon™ HD4570 512MB DDR3, HDMI, 5-in-1 card reader, 0.3MP CrystalEye",
HP UU851E warranty/support extension,HP 5 year Next business day Onsite + Defective Media Retention LaserJet M9040/9050 MFP Support,
Freecom Mobile Drive 320GB USB 2.0 external hard drive Silver,"Mobile Drive 320GB, USB 2.0, 2.5"", silver",
Fujitsu Service Pack 3/5 Years,,
"Fujitsu FSC Service Pack - AMILO M, Pi, Si, Xi - 3 year Collect & return service","FSC Service Pack -  AMILO M, Pi, Si, Xi - 3 year Collect & return service",
LevelOne MDU-0140 network switch component,,
Epson Photoconductor unit S051005,Photoconductor Unit (Drum Cartridge) for EPL-4000/4100/4300,
"Targus 17"" notebook case 43.2 cm (17"") Briefcase",Laptop Bags,
Acer Altos R720 M2 server Intel® Xeon® 5000 Sequence 2.26 GHz 6 GB DDR3-SDRAM Rack (2U),"Altos R720M2, Rack 2U, Xeon QC E5520 2,26GHz/8MB, 3x2GB DDR3 Unbuff, 1x 2,5"" HDD cage (8 bays, second cage optional), SATA on board, no HDD, DVD Writer, 2xLAN gigabit onboard, 85% efficiency 1+1 PSU (second optional), Rack Rail kit, EURO power cable, no mouse, no KB, EasyBuild+ASM",
"Samsung monitor 152MP Silver 15LCD 38.1 cm (15"") 1024 x 768 pixels",1024x768 TCO99 TV tuner Speakers,
C2G 1m LC/ST Plenum-Rated Duplex 50/125 Multimode Fiber Patch Cable fibre optic cable Black,1m LC/ST Plenum-Rated Duplex 50/125 Multimode Fiber Patch Cable - Black,
Allied Telesis Replacement 1m length stacking cable networking cable,Replacement 1m length stacking cable,
"Lenovo ThinkPad T60p 35.8 cm (14.1"") 1400 x 1050 pixels Intel® Core™ Duo 1 GB DDR2-SDRAM 100 GB AMD Mobility FireGL V5200 Windows XP Professional","ThinkPad T60p, Intel Core Duo T2600(2.16GHz), 1GB RAM, 100GB 7200rpm HD, 14.1in 1400x1050 LCD, 256MB ATI FireGL V5200, CDRW/DVD, Intel 802.11abg wireless, Bluetooth/Modem, 1Gb Ethernet, UltraNav, Secure chip, 9c Li-Ion batt, WinXP Pro",
"Fujitsu KBPC 0 """"US ROM"""" LB keyboard PS/2 QWERTY US English Ivory","KBPC 0 """"US ROM"""" LB KBPC 0 """"US ROM"""" LB",
DELL Paper Drawer f/ 5330dn 500 sheets,500 Sheet Drawer A4 f/ 5330dn,
Logitech OEM CORDLESS DESKTOP keyboard RF Wireless,OEM CORDLESS DESKTOP OPTICAL WHITE USB PS 2           BE (NMS),
StarTech.com 15U Rack Enclosure Server Cabinet - 27.6 in. Deep - Built-in Fans,StarTech.com 15U Rack Enclosure Server Cabinet - 27.6 in. Deep - Built-in Fans,99895.0
"Samsung Series 9 QE75Q95TAT 190.5 cm (75"") 4K Ultra HD Smart TV Wi-Fi Silver","QLED, 75"", 3840 x 2160, Quantum Processor 4K, HDR 10+, Samsung SMART TV, HDMI, USB, Bluetooth, Wi-Fi , 48.1 kg",
"Canon PowerShot SX210 IS Compact camera 14.1 MP CCD 4320 x 3240 pixels 1/2.3"" Black","PowerShot SX210 IS - 14.1 MP, 14x opt., Image Stabilizer, DIGIC 4 + Servo AF/AE, 1/2.3"" CCD, TTL, 3.0” LCD",
"Fujitsu Service Pack, 5Y, on-site, 4H WHZ, 7x24","Service Pack, 5Y, on-site, 4H WHZ, 7x24",
Supermicro SNK-P0036 computer cooling component Processor Radiator,SNK-P0036,3395.0
Epson EB-440W [240v],"EB-440W, WXGA - 16:10 (1280 x 800), 2200lm",
Xerox Vivid & Fluorescent Kit (Pre-installed),Vivid,
V7 Internal SATA cable 1 m Red,"SATA Cable7P-RA/7P, 1M, Red,V7 by Belkin",
MSI P45D3 PLATINUM LGA 775 (Socket T) ATX,,
Case Logic Campus CCAM-3116 Black Palm backpack Polyester Black/gray,"Campus Uplink Backpack 26L, Black Palm",
Philips Deco 25W E14 230V BXS35 CL 1CT F,,
Tripp Lite CST16AC charging station organizer Freestanding Steel White,,
Canon iR iR2318,"iR2318 - A3, 297 x 432 mm, 600dpi × 600dpi, 64MB, USB 2.0, 64 - 90 g/m2",
Allied Telesis AT-PC232/PoE-20 network media converter 100 Mbit/s 1310 nm,"AT-PC232/PoE-20 - 10/100TX POE - 100FX (SC), 15.4W POE, VLAN tagged packets",
OKI 16MB Flash SIMM for B4200 B4300 B4350 memory module 16 GB DRAM,16MB Flash SIMM for B4200 B4300 B4350,
HP 3y Nbd Onsite w/DMR TouchSmart PC Svc,HP 3 year Next business day Onsite with Defective Media Retention All-in-One PC Hardware Support,
Sharp PW-E220 electronic dictionary QWERTY,,
"Hannspree Hanns.G HH251HP 62.5 cm (24.6"") 1920 x 1080 pixels Black","24.6"" FullHD 1920 x 1080 800:1 300 cd/m² 5 ms (typ.) /2 ms (GtG)",
Eminent USB 61-in-1 Cardreader card reader Black,"EM1058 61-in-1 Cardreader USB, MD, MMC, SD, SDHC, CF",
Lenovo 01AW041 notebook spare part Keyboard,Notebook Keyboard,
Freecom FHD-XS 20GB external hard drive White,"FHD-XS 60GB Ultra Slimline HD USB-2, SYNC button, White",
HP Compaq 6730s Notebook PC,Compaq 6730s Notebook PC,
HP S-Buy 3y 4h 13x5 MSA60 HW Supp,HP S-Buy 3y 4h 13x5 MSA60 HW Supp - HP SmartBuy MSA60 w/ 876GB Enclosure - 3 years of hardware support. 4 hour onsite response. 8am-9pm - Standard business days excluding HP holidays.,
Philips Pressurised steam generator GC8320/02,"Pressurised steam generator, 1,4L",
"Fujitsu MAP3367NP internal hard drive 3.5"" 36 GB SCSI",MAP3367NP Fujitsu 36GB,
ASUS P7Q57-M DO motherboard LGA 1156 (Socket H) Micro ATX,"P7Q57-M DO - LGA1156, Intel® Q57 Express, 4 x DIMM, max. 16GB, DDR3 1600/1333/1066 MHz, non-ECC, 1 x PCI Express 2.0 x16, 1 x PCI Express 2.0 x1, 2 x PCI, 6 x SATA 3.0 Gb/s, 1 x UltraDMA 133/100, Integrated Intel Graphics, Gigabit LAN, uATX",
"V7 15 inch LCD L15E 38.1 cm (15"") 1024 x 768 pixels White","15 inch LCD V7 L15E, 300:1, 250 cd/m&#1030;, 1024 x 768, 15 Pin D-Sub",
Philips PhotoFrame 7FF3FPB/05,"Share your memories. 7"" LCD 16:9 frame ratio.",1895.0
Lenovo 78Y1524 warranty/support extension,ThinkPlus® Warranty Extension to 3-year Mail-in and 3-year ThinkPad Protection,
"Lenovo ThinkPad T43 38.1 cm (15"") 1024 x 768 pixels 0.5 GB DDR2-SDRAM 40 GB AMD Mobility Radeon X300 Windows XP Professional","ThinkPad T43, P M 750, 512MB RAM, 40GB 5400rpm HDD, 15 XGA(1024x768) TFT LCD, 64MB ATI Radeon X300, 24x-8x DVD, Wireless upgradeable(MPCI), Modem(CDC), 1Gb Ethernet(LOM), UltraNav, Secure Chip, 6 cell Li-Ion battery, WinXP Pro",
Kensington Wall Mount Unit Silver,Kensington® Flat Panel Wall Mount Unit/Cubicle Hanger Adapter,7595.0
"Canon Digital IXUS 750 Compact camera 7.1 MP CCD 3072 x 2304 pixels 1/1.8"" Beige",Digital IXUS 750 Beige,
Xerox Ink Cartridges for Phaser 8500/8550 ink stick 6 pc(s) 3000 pages,Ink Cartridges for Phaser 8500/8550,
C2G Snap-In SC Fiber Keystone Module White,Snap-In SC Fiber Keystone Module White,
"LG 20LS5R TV 50.8 cm (20"") Black",,
Sharp EL-334EB calculator Pocket Basic White,,
Sandberg Wireless Set NO keyboard,"With the Sandberg Wireless Keyboard Set you get a beautifully designed, black keyboard set on your desktop without any cables to get in the way. The keyboard features\naccurate, low-noise keys, shortcuts to your applications and easy multimedia playback. The wireless optical mouse offers precise control, quick scrolling and two shortcut buttons.\n Both the mouse and keyboard feature a comfortable black rubber surface for a better grip.\n The mouse battery is charged automatically when you place the mouse in the cradle.",
"Samsung SyncMaster TC190 48.3 cm (19"") 1280 x 1024 pixels Black",,
"Trend Micro Enterprise Security f/Endpoints Light New, 12m, 26-50u","Enterprise Security f/Endpoints Light New, 12m, 26-50u, UK",
Logitech Deluxe 250 USB keyboard Black,Deluxe 250 USB Keyboard Black (BE),
Toshiba AG2 176mm x 300m printer ribbon,"AG2 Smearless Wax/Resin Ribbon - 176mm x 300m, Green",
HP Photosmart M447 Digital Camera,"Get crisp, clear photos with this easy-to-use 5 MP camera. Zoom in with 3x optical, preview on the bright 6 cm display and snap – it’s as easy as that. Use HP anti-shake mode and in-camera red-eye removal for results you’ll be proud to share.",
HP 5y ADP On-Site w/Computrace SVC,HP 5y ADP On-Site w/Computrace SVC - NB and Tablets with 3-3-0 Base Warranty - HP 5y Next Business Day Onsite Response w/ADP and Computrace asset mgmt protection Std Bus days/hours excl HP holiday,
"Fujitsu Service Pack, 5 Jahre, 48H, 5x9 für BX300",,
Lenovo ThinkStation P330 Tower Gen 2 Intel Xeon E E-2224 16 GB DDR4-SDRAM 512 GB SSD Black Workstation Windows 10 Pro for Workstations,"Intel Xeon E-2224, 16GB (DDR4), 512GB (SSD), NVIDIA Quadro RTX 4000 (8GB, GDDR6), Windows 10 Pro for Workstations (64 bit), DVD±RW, 400W, 12.8 kg",
HP Q8736A art paper,"Hahnemuhle Textured Fine, 610mmx10.7m, 265g/m2",19795.0
StarTech.com VGA Wall Plate Video Extender Receiver,VGA Wall Plate Video Extender Receiver - Cat 5,
"Acer TravelMate 7730-663G32MN 43.2 cm (17"") 1440 x 900 pixels Intel® Core™2 Duo 3 GB DDR2-SDRAM 320 GB Intel® GMA 4500M Windows Vista Business","Legitieme Windows Vista® Business , Intel® Core™2 Duo processor T6670 (2.2GHz/FSB: 800MHz/2MB L2 cache), XPP recovery in box, Microsoft® Office™ Ready 2007 (trial-version), 17"" TFT WXGA+ non-glare, 3GB DDR II RAM (1x 2GB + 1x 1GB), 320GB HDD (5400rpm), Super Multi DVD-RW Double Layer, 6-cell Li-ion, 56K modem, Gigabit & Wireless LAN 802.11b/g/n, Bluetooth®, Mobile Intel® Graphics Media Accelerator 4500M shared, 0.3MP CrystalEye, 5-in-1 card reader, Fingerprint, EasyPort IV connector, AZB",
"LG 34WN650-W LED display 86.4 cm (34"") 2560 x 1080 pixels UltraWide Full HD White",,
"Lenovo ThinkPad X41 PM 758 1.5GHz 30.7 cm (12.1"") 1024 x 768 pixels 0.5 GB DDR2-SDRAM 40 GB Intel® GMA 900 Windows XP Professional",ThinkPad X41 PM758 LV 1.5GHz 40GB 512MB 12.1IN WXPP           BE (CENTRI),
DELL PowerEdge R740 server Intel Xeon Silver 2.2 GHz 32 GB DDR4-SDRAM Rack (2U) 750 W,"Intel Xeon Silver 4210 (13.75MB Cache, 2.2GHz), 32GB DDR4-SDRAM (2933MT/s) RDIMM Dual Rank, 480GB SSD, LAN (Broadcom 5720), PERC H730P 2GB, iDRAC9 Enterprise, 750W, Windows Server 2019 Standard",
"Acer TravelMate 5320-051G12Mi 39.1 cm (15.4"") 1280 x 800 pixels Intel® Celeron® M 1 GB DDR2-SDRAM 120 GB Intel® GMA X3100 Windows Vista Home Premium",,
Eminent 400 Mhz VGA broadcaster,AB7802 2 Port 400Mhz Video Splitter,7195.0
Netgear PL1000-100PES PowerLine network adapter 1000 Mbit/s Ethernet LAN White 2 pc(s),"1000 Mbps, 1 Gigabit Port, HomePlug AV2, 2 Pack",9895.0
HP 3 year Support Plus 24 LeftHand Replication Remote Offices 1 pack Software Support,HP 3 year Support Plus 24 LeftHand Replication Remote Offices 1 pack Software Support,
Iomega 250GB Portable Hard Drive external hard drive Silver,250GB Portable Hard Drive Silver eGo Hi-Speed USB 2.0,
D-Link Fast Ethernet print server Ethernet LAN,Fast Ethernet Print Server,
Sylvanian Families Breakfast Playset,,
"Sony CKMNWS630B, silico, white, S730 Black Silicone","CKMNWS630B, silicon, black, S730",
"Sony Dreams, PS4 video game PlayStation 4 Basic",,2395.0
"Lenovo 3000 N100 39.1 cm (15.4"") 1280 x 800 pixels Intel® Core™ Duo 0.5 GB DDR2-SDRAM 80 GB Intel® GMA 950 Windows XP Professional","Lenovo 3000 N100, Intel Core Duo T2300(1.66GHz), 512MB RAM, 80GB 5400rpm HD, 15.4in 1280x800 LCD, Intel 950, CDRW/DVDRW, Intel 802.11abg wireless, Bluetooth/Modem, 10/100 Ethernet, IEEE 1394, Fingerprint reader, Camera, 6c Li-Ion batt, WinXP Pro",
StarTech.com 3 Port PCI Low Profile 1394a FireWire Adapter Card,StarTech.com 3 Port PCI Low Profile 1394a FireWire Adapter Card - 1394a FW PCI FireWire 400 Card,2495.0
DELL OptiPlex 3070 9th gen Intel® Core™ i5 i5-9500 8 GB DDR4-SDRAM 1000 GB HDD Mini Tower Black PC Windows 10 Pro,,
Canon BCI 10 Original Black,"Canon BCI 10 - print cartridge, Up to 3000 pages",
Kingston Technology ValueRAM 4GB DDR3 240-pin DIMM Kit memory module 1333 MHz ECC,ValueRam,4895.0
"Huawei P30 lite 15.6 cm (6.15"") 64 GB 4G USB Type-C Blue 3340 mAh","6.12"" 2312 x 1080 IPS, 2G/3G/4G, Kirin 710 Octa-core 4 x Cortex-A73 2.2 GHz + 4 x Cortex-A53 1.7 GHz, 24 MP+8 MP+2 MP, 32 MP, Wi-Fi, Bluetooth, GPS, Android",
"Philips PVD1075 10.2"" LCD Portable TV",Enjoy portable digital TV! with USB and SD slots for photo/video/music,
HP 49A Original Black 1 pc(s),49A Black Original LaserJet Toner Cartridge,10495.0
Seagate Barracuda Pushbutton Backup external hard drive 300 GB,"Pushbutton Backup External Hard Drive 300 GB, 8 MB buffer, 7200 RPM, USB2.0 & FIreWire",
HP Z2 G4 9th gen Intel® Core™ i7 i7-9700 16 GB DDR4-SDRAM 1256 GB HDD+SSD Tower Black Workstation Windows 10 Pro,"Intel Core i7-9700 (12MB Cache, 3GHz), 16GB DDR4-SDRAM, 1000GB HDD, 256GB SSD, DVD-RW, Intel UHD Graphics 630, NVIDIA GeForce RTX 2060 SUPER (8GB GDDR6), LAN, Windows 10 Pro 64-bit",
DELL PowerEdge T440 server Intel Xeon Silver 2.1 GHz 16 GB DDR4-SDRAM Tower (5U) 495 W,"Intel Xeon Silver 4208 (11MB Cache, 2.1GHz), 16GB DDR4-SDRAM (2666MT/s) RDIMM Dual Rank, 480GB SSD, DVD-RW, LAN, PERC H330, iDRAC9 Enterprise, 495W, Windows Server 2019 Essentials",
"Canon Digital IXUS i Compact camera 5 MP CCD 2592 x 1944 pixels 1/2.5"" Red","Digital IXUS i, 5MP, 2592 x 1944, 1.8"" TFT, 20fps, 16 MB, USB 2.0, 105 g",
Acer Aspire M5800 Intel® Pentium® E5400 4 GB DDR3-SDRAM 640 GB Desktop Black PC Windows 7 Home Premium,,
"Lenovo ThinkPad Edge 15 39.6 cm (15.6"") 1366 x 768 pixels 3rd gen Intel® Core™ i3 2 GB DDR3-SDRAM 250 GB Windows 7 Professional","Intel Core i3-330M(2.13GHz), 2GB RAM, 250GB 5400rpm HD, 15.6in 1366x768 LCD, Intel HD Graphics, CDRW/DVDRW, Intel 802.11bgn, Bluetooth, 1Gb Ethernet, UltraNav, Camera, 6c Li-Ion, Windows 7 Professional 64",
"Lenovo ThinkPad X60 - 1706MNG, BE 30.7 cm (12.1"") 1024 x 768 pixels Intel® Core™2 Duo 1 GB DDR2-SDRAM 80 GB Intel® GMA 950 Windows XP Professional","ThinkPad X60 - 1706MNG, Intel Core 2 Duo T5600, 1024MB DDR2 RAM, 80GB SATA HDD, 12.1"" XGA TFT, Bluetooth 2.0, TPM, Finger Print (FPR), Win XP Pro",
HP 3y 4h 24x7 ProLiantDL380 Clstr HWSupp,HP 3y 4h 24x7 ProLiantDL380 Clstr HWSupp - Proliant Server DL380 Packaged Cluster - 3 years of hardware support. 4 hour onsite response. 24x7 including HP holidays.,
ASUS M4N78 motherboard Socket AM3 ATX,M4N78,
"Acer Extensa 5635-663G32MN 39.6 cm (15.6"") 1366 x 768 pixels Intel® Core™2 Duo 3 GB DDR2-SDRAM 320 GB NVIDIA® GeForce® G105M Windows 7 Home Premium",,
"Acer Extensa EX 5635Z-433G25N_Full Linux + AcerAdvantage 39.6 cm (15.6"") 1366 x 768 pixels Intel® Pentium® Dual-Core 3 GB DDR3-SDRAM 250 GB Intel® GMA 4500M",,
ACT D-sub Adapter 9 pole Male to 25 pole Male,GENDER CHANGER 9M-25M 9 POLIG - 25 POLIG SUB-D MINI 1:1,2495.0
Fujitsu 800.258.048 printer ribbon,Printer Ribbon 8028/8029/8049,
HERMA Franking labels double 163x45 mm 500 pcs.,"Franking labels double, 163x45 mm, 500 pcs.",2295.0
APC NET8 SurgeArrest Network 8 AC outlet(s) 120 V Beige,APC Network SurgeArrest - 8 outlet,3395.0
Eminent EM4480 Internet Camera webcam 640 x 480 pixels,EM4480 Internet Camera,
DELL 593-10239 toner cartridge Original Black,Toner cartridge - high capacity - 1 x black - 6000 pages,19095.0
"Samsung EF-PA515 mobile phone case 16.5 cm (6.5"") Cover Blue",Silicone Cover for Galaxy A51,
Kensington Cable Management Puck (2),Eliminate cable clutter on your desk in seconds.,1195.0
APC Power Adapter Cord 6ft 1.83 m,"Power Adapter Cord, 10 Amp, 125 Volt, Black, 6 Ft",
ASUS A8S-X motherboard Socket 939 ATX,A8S-X AMD Socket 939 for Athlon 64FX / Athlon 64 X2 / Athlon 64 Intel Gigabit LAN,
Kodak Alaris C1738764-E-PRE maintenance/support fee 1 year(s),"Supportbox for i4850, 12 Months, On-site service, 4 Std",
ESET Multi-Device Security 3 User Base license 3 license(s) 1 year(s),Multi-Device Security Years 1 User 3,
2-Power 2P-671277-171 notebook spare part Battery,Main Battery Pack 11.1V 5315mAh 59Wh,
Philips Hair clipper QC5050/40,Hair clipper QC5050 With contour following comb,
C2G 1m LC/ST Plenum-Rated Duplex 50/125 Multimode Fiber Patch Cable fibre optic cable Blue,1m LC/ST Plenum-Rated Duplex 50/125 Multimode Fiber Patch Cable - Blue,
Lexmark Black High Yield Return Program Print Cartridge for C770/C772 Original,Black High Yield Return Program Print Cartridge for C770/C772,20795.0
Freecom Yosemite Backup Upgrade ML,Yosemite Backup SBS Bundle (WIN-32),
C2G 1m ST/SC LSZH Duplex 50/125 Multimode Fiber Patch Cable fibre optic cable Orange,1m ST/SC LSZH Duplex 50/125 Multimode Fiber Patch Cable,
StarTech.com S-Video Video Extender over Cat 5 with Audio,StarTech.com S-Video Video Extender over Cat 5 with Audio,8745.0
OKI Toner OP4w Original Black,"Toner Cartridge for OP4w, OO44",
Philips Cineos LCD TV 52PFL9703D/10,Excite your senses,
"Lexmark X463, X464, X466 High Yield Return Program Toner Cartridge Original Black","<ul><li>LEXX463H11G-Lexmark X463H11G Toner</li><li>Baskı kapasitesi : 9,000</li><li>Renk : Siyah</li></ul>",23095.0
Lexmark Toner Cartridge for E33/E34 series Original Black,"Return Program Cartridge, E33 series",18295.0
Lexmark C540H2YG toner cartridge Original Yellow 1 pc(s),"C540, C543, C544, X543, X544 Yellow High Yield Toner Cartridge",14594.0
Conceptronic Universal USB mini car charger,Charge your USB device directly through the cigarette lighter of your car 12v/24v),
"Fujitsu AMILO Pro V2040 Cent1730 512MB 60GB BE 38.1 cm (15"") 1024 x 768 pixels 0.5 GB DDR2-SDRAM Intel® GMA 900 Windows XP Professional",Amilo Pro V2040 Cent1730 512MB 60GB BE,
"C2G Cat5e STP, 1 x RJ-45, 1 x RJ-45, 75ft, Yellow networking cable 22.86 m","Cat5e STP, 1 x RJ-45, 1 x RJ-45, 75ft, Yellow",3095.0
"Lenovo ThinkPad T60p 38.1 cm (15"") 1600 x 1200 pixels Intel® Core™ Duo 1 GB DDR2-SDRAM 100 GB AMD Mobility FireGL V5200 Windows XP Professional","ThinkPad T60p, Intel Core Duo T2500(2GHz), 1GB RAM, 100GB 7200rpm HD, 15in 1600x1200 LCD, 256MB ATI FireGL V5200, CDRW/DVDRW, Intel 802.11abg wireless, Modem, 1Gb Ethernet, UltraNav, Secure chip, Fingerprint reader, 6c Li-Ion batt, WinXP Pro",
"Lenovo ThinkPad T43 35.8 cm (14.1"") 1024 x 768 pixels 0.5 GB DDR2-SDRAM 40 GB AMD Mobility Radeon X300 Windows XP Professional","ThinkPad T43, P M 750(1.86GHz), 512MB RAM, 40GB 5400rpm HD, 14.1in 1024x768 LCD, 64MB ATI Radeon X300, CDRW/DVD, Intel 802.11bg wireless, Modem, 1Gb Ethernet, UltraNav, Secure chip, 6c Li-Ion batt, WinXP Pro",
Corel Digital Studio 2010,"Digital Studio 2010, Mini Box, NL",
C2G 2m External Serial ATA Cable SATA cable eSATA Black,2m External Serial ATA Cable,
"ASUS MS246H computer monitor 59.9 cm (23.6"") 1920 x 1080 pixels Full HD Black",,
Toshiba LAMP FOR TDPT95/TW95,Replacement Projector Lamp TLP-LW9,
Acer EC.J6000.001 projector lamp 230 W P-VIP,Replacement Lamp for P5260E,17495.0
"Tripp Lite 6-Outlet Surge Protector - German Type F Schuko Outlets, 220-250V AC, 16A, 1.8 m Cord, Schuko Plug, White","6-Outlet Surge Protector - German Type F Schuko Outlets, 220-250V AC, 16A, 1.8 m Cord, Schuko Plug, White",
HP 1y PW 6h24x7CTR NetserverLHLT6 HWSupp,HP 1y PW 6h24x7CTR NetserverLHLT6 HWSupp - Netserver LH6/LT6 - 1 y post wrrnty HW supp.6h repair time commit - 24x7 incl HP hol.No committed repair time 1st 30 d/until assmt performed,
C2G 3ft Value Series Component Video RCA Type Cable component (YPbPr) video cable 0.91 m 3 x RCA Black,3ft Value Series Component Video RCA Type Cable,994.0
DELL 256MB RAM f/ 2335dn memory module 0.25 GB DRAM,256MB RAM f/ 2335dn,
Philips Stereo Y cable SWA7555S/10,"SWA7555S, Stereo Y cable",
Iomega eGo 500GB external hard drive Red,"2.5"", 500GB, USB 2.0",
Iomega 250MB 6PK Zip disk,250MB ZIP DISK 6PK,
"Canon Digital IXUS 110 IS Compact camera 12.1 MP CCD 4000 x 3000 pixels 1/2.3"" Pink",,
Zyxel GS2200-48 Managed,GS2200-48 - Enterprise LAN Switches,
"HP 24 -df0029nt 60.5 cm (23.8"") 1920 x 1080 pixels 10th gen Intel® Core™ i5 8 GB DDR4-SDRAM 1256 GB HDD+SSD Wi-Fi 5 (802.11ac) Black All-in-One PC Windows 10 Home","Intel Core i5-1035G1 (6MB Cache, 1GHz), 8GB DDR4-SDRAM, 1000GB HDD, 256GB SSD, 60.5 cm (23.8"") Full HD 1920 x 1080 IPS, DVD±RW, Intel UHD Graphics, LAN, WLAN, Bluetooth, HP Privacy HD, Windows 10 Home 64-bit",
"HP ProBook 455R G6 Notebook Silver 39.6 cm (15.6"") 1920 x 1080 pixels AMD Ryzen 7 16 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Pro",,
Acer Aspire E380 AMD Athlon 4400+ 2 GB DDR2-SDRAM 250 GB Tower PC Windows Vista Home Premium,,
HP 3y SupportPlus MS ProLiant ML350 SVC,HP RX7640 16C MONTVALE SERVER H .,
"HP ProBook 430 G6 + Thunderbolt Dock 120W G2 Notebook Silver 33.8 cm (13.3"") 1920 x 1080 pixels 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Pro","Intel Core i5-8265U (1.6GHz, 6MB), 13.3"" FHD IPS anti-glare LED (1920 x 1080), 8GB (1 x 8GB) DDR4 SDRAM, 256GB PCIe NVMe M.2 SSD, Intel UHD Graphics 620, 802.11a/b/g/n/ac, Bluetooth 5, webcam, Intel XMM 7360 LTE-Advanced, Windows 10 Pro 64 + Thunderbolt Dock 120W G2 (2UK37AA)",
Sony POC-DSE10C,POC-DSE10C - 1m High Quality Optical Digital Audio Cable (TOSLINK™),
